timestamp,demand_mw,region
2022-11-26 00:00:00,429799,US48
2022-11-26 01:00:00,430467,US48
2022-11-26 02:00:00,428637,US48
2022-11-26 03:00:00,422651,US48
2022-11-26 04:00:00,412340,US48
2022-11-26 05:00:00,400507,US48
2022-11-26 06:00:00,388534,US48
2022-11-26 07:00:00,378968,US48
2022-11-26 08:00:00,372908,US48
2022-11-26 09:00:00,369694,US48
2022-11-26 10:00:00,369951,US48
2022-11-26 11:00:00,374301,US48
2022-11-26 12:00:00,383147,US48
2022-11-26 13:00:00,395986,US48
2022-11-26 14:00:00,405519,US48
2022-11-26 15:00:00,410192,US48
2022-11-26 16:00:00,411761,US48
2022-11-26 17:00:00,410606,US48
2022-11-26 18:00:00,408728,US48
2022-11-26 19:00:00,406582,US48
2022-11-26 20:00:00,404136,US48
2022-11-26 21:00:00,403243,US48
2022-11-26 22:00:00,408485,US48
2022-11-26 23:00:00,421309,US48
2022-11-27 00:00:00,429166,US48
2022-11-27 01:00:00,432402,US48
2022-11-27 02:00:00,431122,US48
2022-11-27 03:00:00,425475,US48
2022-11-27 04:00:00,414257,US48
2022-11-27 05:00:00,400293,US48
2022-11-27 06:00:00,387061,US48
2022-11-27 07:00:00,376760,US48
2022-11-27 08:00:00,369752,US48
2022-11-27 09:00:00,365277,US48
2022-11-27 10:00:00,362988,US48
2022-11-27 11:00:00,364176,US48
2022-11-27 12:00:00,369633,US48
2022-11-27 13:00:00,380203,US48
2022-11-27 14:00:00,393046,US48
2022-11-27 15:00:00,406855,US48
2022-11-27 16:00:00,414280,US48
2022-11-27 17:00:00,417361,US48
2022-11-27 18:00:00,419035,US48
2022-11-27 19:00:00,419147,US48
2022-11-27 20:00:00,417893,US48
2022-11-27 21:00:00,417367,US48
2022-11-27 22:00:00,422364,US48
2022-11-27 23:00:00,433512,US48
2022-11-28 00:00:00,443456,US48
2022-11-28 01:00:00,447205,US48
2022-11-28 02:00:00,444513,US48
2022-11-28 03:00:00,435273,US48
2022-11-28 04:00:00,421105,US48
2022-11-28 05:00:00,404947,US48
2022-11-28 06:00:00,390697,US48
2022-11-28 07:00:00,378931,US48
2022-11-28 08:00:00,371681,US48
2022-11-28 09:00:00,368959,US48
2022-11-28 10:00:00,373519,US48
2022-11-28 11:00:00,387302,US48
2022-11-28 12:00:00,414662,US48
2022-11-28 13:00:00,441716,US48
2022-11-28 14:00:00,455990,US48
2022-11-28 15:00:00,460126,US48
2022-11-28 16:00:00,459816,US48
2022-11-28 17:00:00,457269,US48
2022-11-28 18:00:00,454450,US48
2022-11-28 19:00:00,452607,US48
2022-11-28 20:00:00,450640,US48
2022-11-28 21:00:00,450662,US48
2022-11-28 22:00:00,455069,US48
2022-11-28 23:00:00,467012,US48
2022-11-29 00:00:00,477846,US48
2022-11-29 01:00:00,481459,US48
2022-11-29 02:00:00,478061,US48
2022-11-29 03:00:00,467924,US48
2022-11-29 04:00:00,451209,US48
2022-11-29 05:00:00,432924,US48
2022-11-29 06:00:00,417113,US48
2022-11-29 07:00:00,405698,US48
2022-11-29 08:00:00,398800,US48
2022-11-29 09:00:00,394613,US48
2022-11-29 10:00:00,397241,US48
2022-11-29 11:00:00,407451,US48
2022-11-29 12:00:00,433629,US48
2022-11-29 13:00:00,457034,US48
2022-11-29 14:00:00,465999,US48
2022-11-29 15:00:00,466633,US48
2022-11-29 16:00:00,466310,US48
2022-11-29 17:00:00,464741,US48
2022-11-29 18:00:00,462579,US48
2022-11-29 19:00:00,460875,US48
2022-11-29 20:00:00,460646,US48
2022-11-29 21:00:00,461937,US48
2022-11-29 22:00:00,466155,US48
2022-11-29 23:00:00,478041,US48
2022-11-30 00:00:00,488342,US48
2022-11-30 01:00:00,490374,US48
2022-11-30 02:00:00,485861,US48
2022-11-30 03:00:00,474946,US48
2022-11-30 04:00:00,457778,US48
2022-11-30 05:00:00,438164,US48
2022-11-30 06:00:00,420014,US48
2022-11-30 07:00:00,406355,US48
2022-11-30 08:00:00,398034,US48
2022-11-30 09:00:00,393996,US48
2022-11-30 10:00:00,395738,US48
2022-11-30 11:00:00,405538,US48
2022-11-30 12:00:00,430121,US48
2022-11-30 13:00:00,457425,US48
2022-11-30 14:00:00,472849,US48
2022-11-30 15:00:00,481295,US48
2022-11-30 16:00:00,484004,US48
2022-11-30 17:00:00,483662,US48
2022-11-30 18:00:00,481965,US48
2022-11-30 19:00:00,475955,US48
2022-11-30 20:00:00,471358,US48
2022-11-30 21:00:00,467487,US48
2022-11-30 22:00:00,470886,US48
2022-11-30 23:00:00,484893,US48
2022-12-01 00:00:00,499096,US48
2022-12-01 01:00:00,504619,US48
2022-12-01 02:00:00,504122,US48
2022-12-01 03:00:00,497220,US48
2022-12-01 04:00:00,482061,US48
2022-12-01 05:00:00,464381,US48
2022-12-01 06:00:00,449539,US48
2022-12-01 07:00:00,440176,US48
2022-12-01 08:00:00,433834,US48
2022-12-01 09:00:00,431428,US48
2022-12-01 10:00:00,434974,US48
2022-12-01 11:00:00,449256,US48
2022-12-01 12:00:00,478495,US48
2022-12-01 13:00:00,505561,US48
2022-12-01 14:00:00,513426,US48
2022-12-01 15:00:00,508202,US48
2022-12-01 16:00:00,499905,US48
2022-12-01 17:00:00,491213,US48
2022-12-01 18:00:00,483472,US48
2022-12-01 19:00:00,477770,US48
2022-12-01 20:00:00,474936,US48
2022-12-01 21:00:00,474159,US48
2022-12-01 22:00:00,479566,US48
2022-12-01 23:00:00,496779,US48
2022-12-02 00:00:00,510986,US48
2022-12-02 01:00:00,517314,US48
2022-12-02 02:00:00,516639,US48
2022-12-02 03:00:00,508990,US48
2022-12-02 04:00:00,492618,US48
2022-12-02 05:00:00,472805,US48
2022-12-02 06:00:00,457787,US48
2022-12-02 07:00:00,445864,US48
2022-12-02 08:00:00,437762,US48
2022-12-02 09:00:00,433336,US48
2022-12-02 10:00:00,435072,US48
2022-12-02 11:00:00,444737,US48
2022-12-02 12:00:00,469981,US48
2022-12-02 13:00:00,491243,US48
2022-12-02 14:00:00,496927,US48
2022-12-02 15:00:00,492083,US48
2022-12-02 16:00:00,486126,US48
2022-12-02 17:00:00,479104,US48
2022-12-02 18:00:00,473945,US48
2022-12-02 19:00:00,468493,US48
2022-12-02 20:00:00,465276,US48
2022-12-02 21:00:00,461919,US48
2022-12-02 22:00:00,463608,US48
2022-12-02 23:00:00,473592,US48
2022-12-03 00:00:00,478525,US48
2022-12-03 01:00:00,478108,US48
2022-12-03 02:00:00,473336,US48
2022-12-03 03:00:00,463812,US48
2022-12-03 04:00:00,449897,US48
2022-12-03 05:00:00,433516,US48
2022-12-03 06:00:00,417542,US48
2022-12-03 07:00:00,404168,US48
2022-12-03 08:00:00,393378,US48
2022-12-03 09:00:00,387117,US48
2022-12-03 10:00:00,385614,US48
2022-12-03 11:00:00,388468,US48
2022-12-03 12:00:00,396606,US48
2022-12-03 13:00:00,408933,US48
